NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,Team
0.0,Bilal Coulibaly,SF,6-6,195.0,2004-07-26,FR FR,1,,WASHINGTON BULLETS
16.0,Anthony Gill,PF,6-7,230.0,1992-10-17,US US,4,"South Carolina, Virginia",WASHINGTON BULLETS
0.0,Tristan Vukcevic (TW),C,6-10,223.0,2003-03-11,IT IT,1,,WASHINGTON BULLETS
22.0,Richaun Holmes,PF,6-10,235.0,1993-10-15,US US,9,Bowling Green,WASHINGTON BULLETS
15.0,Malcolm Brogdon,PG,6-4,229.0,1992-12-11,US US,8,Virginia,WASHINGTON BULLETS
5.0,AJ Johnson,SG,6-4,160.0,2004-12-01,US US,R,,WASHINGTON BULLETS
36.0,Marcus Smart,PG,6-3,220.0,1994-03-06,US US,10,Oklahoma State,WASHINGTON BULLETS
1.0,Colby Jones,SG,6-6,205.0,2002-05-28,US US,1,Xavier,WASHINGTON BULLETS
32.0,Khris Middleton,SF,6-7,222.0,1991-08-12,US US,12,Texas A&M,WASHINGTON BULLETS
4.0,Jaylen Martin (TW),SF,6-6,216.0,2004-01-28,US US,R,,WASHINGTON BULLETS
21.0,JT Thor (TW),PF,6-10,205.0,2002-08-26,US US,3,Auburn,WASHINGTON BULLETS
,Saddiq Bey,SF,6-7,215.0,1999-04-09,US US,4,Villanova,WASHINGTON BULLETS
14,Matas Buzelis,SF,6-10,209.0,2004-10-13,US US,R,,CHICAGO ZEPHYRS
15,Julian Phillips,SF,6-8,198.0,2003-11-05,US US,1,Tennessee,CHICAGO ZEPHYRS
0,Coby White,SG,6-5,195.0,2000-02-16,US US,5,UNC,CHICAGO ZEPHYRS
9,Nikola Vučević,C,6-10,260.0,1990-10-24,CH CH,13,USC,CHICAGO ZEPHYRS
25,Dalen Terry,SG,6-7,195.0,2002-07-12,US US,2,Arizona,CHICAGO ZEPHYRS
3,Josh Giddey,PG,6-8,210.0,2002-10-10,AU AU,3,,CHICAGO ZEPHYRS
7,Jalen Smith,C,6-10,215.0,2000-03-16,US US,4,Maryland,CHICAGO ZEPHYRS
44,Patrick Williams,PF,6-7,215.0,2001-08-26,US US,4,Florida State,CHICAGO ZEPHYRS
22,Talen Horton-Tucker,SG,6-4,234.0,2000-11-25,US US,5,Iowa State,CHICAGO ZEPHYRS
11,Ayo Dosunmu,SG,6-5,200.0,2000-01-17,US US,3,Illinois,CHICAGO ZEPHYRS
5,Jevon Carter,PG,6-1,200.0,1995-09-14,US US,6,West Virginia,CHICAGO ZEPHYRS
2,Lonzo Ball,PG,6-6,190.0,1997-10-27,US US,5,UCLA,CHICAGO ZEPHYRS
12,Zach Collins,PF,6-11,250.0,1997-11-19,US US,6,Gonzaga,CHICAGO ZEPHYRS
13,Kevin Huerter,SG,6-7,190.0,1998-08-27,US US,6,Maryland,CHICAGO ZEPHYRS
30,Tre Jones,PG,6-1,185.0,2000-01-08,US US,4,Duke,CHICAGO ZEPHYRS
32,E.J. Liddell (TW),PF,6-7,240.0,2000-12-18,US US,1,Ohio State,CHICAGO ZEPHYRS
17,Jahmir Young (TW),PG,6-2,185.0,2000-10-07,US US,R,"UNC Charlotte, Maryland",CHICAGO ZEPHYRS
20,Emanuel Miller (TW),PF,6-7,215.0,2000-06-19,CA CA,R,"Texas A&M, TCU",CHICAGO ZEPHYRS
14,Matas Buzelis,SF,6-10,209.0,2004-10-13,US US,R,,CHICAGO PACKERS
15,Julian Phillips,SF,6-8,198.0,2003-11-05,US US,1,Tennessee,CHICAGO PACKERS
0,Coby White,SG,6-5,195.0,2000-02-16,US US,5,UNC,CHICAGO PACKERS
9,Nikola Vučević,C,6-10,260.0,1990-10-24,CH CH,13,USC,CHICAGO PACKERS
25,Dalen Terry,SG,6-7,195.0,2002-07-12,US US,2,Arizona,CHICAGO PACKERS
3,Josh Giddey,PG,6-8,210.0,2002-10-10,AU AU,3,,CHICAGO PACKERS
7,Jalen Smith,C,6-10,215.0,2000-03-16,US US,4,Maryland,CHICAGO PACKERS
44,Patrick Williams,PF,6-7,215.0,2001-08-26,US US,4,Florida State,CHICAGO PACKERS
22,Talen Horton-Tucker,SG,6-4,234.0,2000-11-25,US US,5,Iowa State,CHICAGO PACKERS
11,Ayo Dosunmu,SG,6-5,200.0,2000-01-17,US US,3,Illinois,CHICAGO PACKERS
5,Jevon Carter,PG,6-1,200.0,1995-09-14,US US,6,West Virginia,CHICAGO PACKERS
2,Lonzo Ball,PG,6-6,190.0,1997-10-27,US US,5,UCLA,CHICAGO PACKERS
12,Zach Collins,PF,6-11,250.0,1997-11-19,US US,6,Gonzaga,CHICAGO PACKERS
13,Kevin Huerter,SG,6-7,190.0,1998-08-27,US US,6,Maryland,CHICAGO PACKERS
30,Tre Jones,PG,6-1,185.0,2000-01-08,US US,4,Duke,CHICAGO PACKERS
32,E.J. Liddell (TW),PF,6-7,240.0,2000-12-18,US US,1,Ohio State,CHICAGO PACKERS
17,Jahmir Young (TW),PG,6-2,185.0,2000-10-07,US US,R,"UNC Charlotte, Maryland",CHICAGO PACKERS
20,Emanuel Miller (TW),PF,6-7,215.0,2000-06-19,CA CA,R,"Texas A&M, TCU",CHICAGO PACKERS
14,Matas Buzelis,SF,6-10,209.0,2004-10-13,US US,R,,CHICAGO STAGS
15,Julian Phillips,SF,6-8,198.0,2003-11-05,US US,1,Tennessee,CHICAGO STAGS
0,Coby White,SG,6-5,195.0,2000-02-16,US US,5,UNC,CHICAGO STAGS
9,Nikola Vučević,C,6-10,260.0,1990-10-24,CH CH,13,USC,CHICAGO STAGS
25,Dalen Terry,SG,6-7,195.0,2002-07-12,US US,2,Arizona,CHICAGO STAGS
3,Josh Giddey,PG,6-8,210.0,2002-10-10,AU AU,3,,CHICAGO STAGS
7,Jalen Smith,C,6-10,215.0,2000-03-16,US US,4,Maryland,CHICAGO STAGS
44,Patrick Williams,PF,6-7,215.0,2001-08-26,US US,4,Florida State,CHICAGO STAGS
22,Talen Horton-Tucker,SG,6-4,234.0,2000-11-25,US US,5,Iowa State,CHICAGO STAGS
11,Ayo Dosunmu,SG,6-5,200.0,2000-01-17,US US,3,Illinois,CHICAGO STAGS
5,Jevon Carter,PG,6-1,200.0,1995-09-14,US US,6,West Virginia,CHICAGO STAGS
2,Lonzo Ball,PG,6-6,190.0,1997-10-27,US US,5,UCLA,CHICAGO STAGS
12,Zach Collins,PF,6-11,250.0,1997-11-19,US US,6,Gonzaga,CHICAGO STAGS
13,Kevin Huerter,SG,6-7,190.0,1998-08-27,US US,6,Maryland,CHICAGO STAGS
30,Tre Jones,PG,6-1,185.0,2000-01-08,US US,4,Duke,CHICAGO STAGS
32,E.J. Liddell (TW),PF,6-7,240.0,2000-12-18,US US,1,Ohio State,CHICAGO STAGS
17,Jahmir Young (TW),PG,6-2,185.0,2000-10-07,US US,R,"UNC Charlotte, Maryland",CHICAGO STAGS
20,Emanuel Miller (TW),PF,6-7,215.0,2000-06-19,CA CA,R,"Texas A&M, TCU",CHICAGO STAGS
1,Obi Toppin,PF,6-9,220.0,1998-03-04,US US,4,Dayton,INDIANAPOLIS OLYMPIANS
9,T.J. McConnell,PG,6-1,190.0,1992-03-25,US US,9,"Duquesne, Arizona",INDIANAPOLIS OLYMPIANS
43,Pascal Siakam,PF,6-8,230.0,1994-04-02,CM CM,8,New Mexico State,INDIANAPOLIS OLYMPIANS
5,Jarace Walker,PF,6-8,240.0,2003-09-04,US US,1,Houston,INDIANAPOLIS OLYMPIANS
0,Tyrese Haliburton,PG,6-5,185.0,2000-02-29,US US,4,Iowa State,INDIANAPOLIS OLYMPIANS
0,Bennedict Mathurin,SF,6-6,210.0,2002-06-19,CA CA,2,Arizona,INDIANAPOLIS OLYMPIANS
33,Myles Turner,C,6-11,250.0,1996-03-24,US US,9,Texas,INDIANAPOLIS OLYMPIANS
2,Andrew Nembhard,SG,6-5,193.0,2000-01-16,CA CA,2,"Florida, Gonzaga",INDIANAPOLIS OLYMPIANS
26,Ben Sheppard,SG,6-6,190.0,2001-07-16,US US,1,Belmont,INDIANAPOLIS OLYMPIANS
3,Thomas Bryant,C,6-10,248.0,1997-07-31,US US,7,Indiana,INDIANAPOLIS OLYMPIANS
12,Johnny Furphy,SG,6-8,200.0,2004-12-08,AU AU,R,Kansas,INDIANAPOLIS OLYMPIANS
23,Aaron Nesmith,SF,6-5,215.0,1999-10-16,US US,4,Vanderbilt,INDIANAPOLIS OLYMPIANS
29,Quenton Jackson (TW),PG,6-5,175.0,1998-09-15,US US,2,Texas A&M,INDIANAPOLIS OLYMPIANS
8,Enrique Freeman (TW),PF,6-7,206.0,2000-07-29,US US,R,University of Akron,INDIANAPOLIS OLYMPIANS
13,Tony Bradley,C,6-10,248.0,1998-01-08,US US,6,UNC,INDIANAPOLIS OLYMPIANS
16,James Johnson,PF,6-7,240.0,1987-02-20,US US,15,Wake Forest,INDIANAPOLIS OLYMPIANS
10,RayJ Dennis (TW),PG,6-2,180.0,2001-03-30,US US,R,"Boise State, Toledo, Baylor",INDIANAPOLIS OLYMPIANS
22,Isaiah Jackson,C,6-10,206.0,2002-01-10,US US,3,Kentucky,INDIANAPOLIS OLYMPIANS
8.0,Bub Carrington,PG,6-4,190.0,2005-07-21,US US,R,Pitt,WASHINGTON CAPITOLS
13.0,Jordan Poole,SG,6-4,194.0,1999-06-19,US US,5,Michigan,WASHINGTON CAPITOLS
18.0,Kyshawn George,SG,6-7,200.0,2003-12-12,CH CH,R,Miami (FL),WASHINGTON CAPITOLS
20.0,Alex Sarr,C,7-0,205.0,2005-04-26,FR FR,R,,WASHINGTON CAPITOLS
9.0,Justin Champagnie,SF,6-6,200.0,2001-06-29,US US,3,Pitt,WASHINGTON CAPITOLS
24.0,Corey Kispert,SF,6-7,220.0,1999-03-03,US US,3,Gonzaga,WASHINGTON CAPITOLS
0.0,Bilal Coulibaly,SF,6-6,195.0,2004-07-26,FR FR,1,,WASHINGTON CAPITOLS
16.0,Anthony Gill,PF,6-7,230.0,1992-10-17,US US,4,"South Carolina, Virginia",WASHINGTON CAPITOLS
0.0,Tristan Vukcevic (TW),C,6-10,223.0,2003-03-11,IT IT,1,,WASHINGTON CAPITOLS
22.0,Richaun Holmes,PF,6-10,235.0,1993-10-15,US US,9,Bowling Green,WASHINGTON CAPITOLS
15.0,Malcolm Brogdon,PG,6-4,229.0,1992-12-11,US US,8,Virginia,WASHINGTON CAPITOLS
5.0,AJ Johnson,SG,6-4,160.0,2004-12-01,US US,R,,WASHINGTON CAPITOLS
36.0,Marcus Smart,PG,6-3,220.0,1994-03-06,US US,10,Oklahoma State,WASHINGTON CAPITOLS
1.0,Colby Jones,SG,6-6,205.0,2002-05-28,US US,1,Xavier,WASHINGTON CAPITOLS
32.0,Khris Middleton,SF,6-7,222.0,1991-08-12,US US,12,Texas A&M,WASHINGTON CAPITOLS
4.0,Jaylen Martin (TW),SF,6-6,216.0,2004-01-28,US US,R,,WASHINGTON CAPITOLS
21.0,JT Thor (TW),PF,6-10,205.0,2002-08-26,US US,3,Auburn,WASHINGTON CAPITOLS
,Saddiq Bey,SF,6-7,215.0,1999-04-09,US US,4,Villanova,WASHINGTON CAPITOLS
